dataset,model,seed,label_rate,ablation,noise_level,accuracy,best_epoch,train_time,attn_entropy_l1,attn_entropy_l2
Cora,GAT,1,0.03,Vanilla,NA,0.7896679043769836,420,2.7462520599365234,2.301922082901001,0.2881719768047333
Cora,GAT,1,0.03,Identity,NA,0.6014760136604309,239,2.109691858291626,2.277904748916626,0.28820300102233887
Cora,GAT,1,0.03,Shuffled,NA,0.5129151344299316,258,2.1256136894226074,2.299258232116699,0.28815943002700806
Cora,GAT,1,0.03,Gaussian,0.1,0.5590406060218811,150,1.3156347274780273,2.240488290786743,0.2879684865474701
Cora,GAT,1,0.03,Gaussian,0.3,0.5461254715919495,368,2.446108102798462,2.2257628440856934,0.2879507541656494
Cora,GAT,1,0.03,Gaussian,0.5,0.5369004011154175,231,1.7461442947387695,2.1385815143585205,0.28768110275268555
Cora,GAT,1,0.03,EdgeDrop,NA,0.7546125650405884,369,2.486077070236206,2.391728639602661,0.29923102259635925
Cora,GAT,1,0.05,Vanilla,NA,0.8357933759689331,440,3.242741107940674,2.301880359649658,0.2882220447063446
Cora,GAT,1,0.05,Identity,NA,0.6955719590187073,188,1.6173288822174072,2.276505470275879,0.28822287917137146
Cora,GAT,1,0.05,Shuffled,NA,0.5756457448005676,444,2.8207106590270996,2.2886452674865723,0.2880908250808716
Cora,GAT,1,0.05,Gaussian,0.1,0.6402214169502258,161,1.358532190322876,2.229926347732544,0.2880209982395172
Cora,GAT,1,0.05,Gaussian,0.3,0.6383764147758484,179,1.4651472568511963,2.193720579147339,0.28797757625579834
Cora,GAT,1,0.05,Gaussian,0.5,0.6328413486480713,444,3.1909401416778564,2.1972670555114746,0.2880145311355591
Cora,GAT,1,0.05,EdgeDrop,NA,0.8154981732368469,236,1.9817821979522705,2.3910813331604004,0.2992158830165863
Cora,GAT,1,0.1,Vanilla,NA,0.8671587109565735,236,1.757068395614624,2.3028528690338135,0.28814414143562317
Cora,GAT,1,0.1,Identity,NA,0.7509225010871887,148,1.3886425495147705,2.2823410034179688,0.2882080376148224
Cora,GAT,1,0.1,Shuffled,NA,0.6383764147758484,444,2.86228609085083,2.295079231262207,0.28814634680747986
Cora,GAT,1,0.1,Gaussian,0.1,0.6845018267631531,295,2.0891194343566895,2.251976490020752,0.28800785541534424
Cora,GAT,1,0.1,Gaussian,0.3,0.6955719590187073,99,1.1642236709594727,2.2109508514404297,0.2878807485103607
Cora,GAT,1,0.1,Gaussian,0.5,0.6881918907165527,218,2.0210840702056885,2.207489252090454,0.2879990041255951
Cora,GAT,1,0.1,EdgeDrop,NA,0.8542435765266418,236,1.8419830799102783,2.3918521404266357,0.2991778254508972
Cora,GAT,2,0.01,Vanilla,NA,0.6845018267631531,386,2.5718045234680176,2.3016717433929443,0.2881534695625305
Cora,GAT,2,0.01,Identity,NA,0.4741697609424591,248,1.9243102073669434,2.2890236377716064,0.28816094994544983
Cora,GAT,2,0.01,Shuffled,NA,0.36346864700317383,147,1.2979350090026855,2.3032305240631104,0.2872309684753418
Cora,GAT,2,0.01,Gaussian,0.1,0.38376384973526,132,1.2421460151672363,2.263108253479004,0.2880709171295166
Cora,GAT,2,0.01,Gaussian,0.3,0.3726937174797058,263,2.30255126953125,2.1990487575531006,0.287779837846756
Cora,GAT,2,0.01,Gaussian,0.5,0.361623615026474,156,1.3768508434295654,2.054572105407715,0.28529560565948486
Cora,GAT,2,0.01,EdgeDrop,NA,0.6383764147758484,310,2.1464650630950928,2.384117364883423,0.29833897948265076
Cora,GAT,2,0.03,Vanilla,NA,0.7749077677726746,250,1.9229321479797363,2.3007569313049316,0.2879651188850403
Cora,GAT,2,0.03,Identity,NA,0.5221402049064636,143,1.3816041946411133,2.289376974105835,0.2879076302051544
Cora,GAT,2,0.03,Shuffled,NA,0.4741697609424591,468,2.9601032733917236,2.2857279777526855,0.28782039880752563
Cora,GAT,2,0.03,Gaussian,0.1,0.5110701322555542,193,1.8415613174438477,2.2580134868621826,0.28802090883255005
Cora,GAT,2,0.03,Gaussian,0.3,0.5202952027320862,231,1.8450944423675537,2.2359771728515625,0.2875231206417084
Cora,GAT,2,0.03,Gaussian,0.5,0.509225070476532,351,2.3531928062438965,2.2089178562164307,0.2875610291957855
Cora,GAT,2,0.03,EdgeDrop,NA,0.7398524284362793,318,2.1911838054656982,2.3834147453308105,0.2983425259590149
Cora,GAT,2,0.05,Vanilla,NA,0.7915129065513611,167,1.4617393016815186,2.3018863201141357,0.28796884417533875
Cora,GAT,2,0.05,Identity,NA,0.5774908065795898,204,1.7295873165130615,2.282269239425659,0.2879539430141449
Cora,GAT,2,0.05,Shuffled,NA,0.48154982924461365,352,2.8280045986175537,2.29628849029541,0.28800278902053833
Cora,GAT,2,0.05,Gaussian,0.1,0.5479704737663269,212,1.6244564056396484,2.262610912322998,0.287992924451828
Cora,GAT,2,0.05,Gaussian,0.3,0.5498154759407043,212,1.6279654502868652,2.240631580352783,0.2878074049949646
