dataset,model,seed,label_rate,ablation,noise_level,accuracy,best_epoch,train_time,attn_entropy_l1,attn_entropy_l2,rep_variance
CiteSeer,GAT,2,0.03,Identity,NA,0.38288289308547974,120,1.2059357166290283,2.4379327297210693,0.3056654632091522,0.23454368114471436
CiteSeer,GAT,2,0.03,Shuffled,NA,0.28378379344940186,283,2.574144124984741,2.4450671672821045,0.30534446239471436,0.13824933767318726
CiteSeer,GAT,2,0.03,Gaussian,0.1,0.342342346906662,271,2.133211612701416,2.407180070877075,0.3055182099342346,2.3559024333953857
CiteSeer,GAT,2,0.03,Gaussian,0.3,0.342342346906662,513,3.446288585662842,2.3558461666107178,0.3052718937397003,4.974808692932129
CiteSeer,GAT,2,0.03,Gaussian,0.5,0.3558558523654938,310,2.28995680809021,2.098935842514038,0.304353266954422,4.148262977600098
CiteSeer,GAT,2,0.03,EdgeDrop,NA,0.6516516804695129,236,1.9840788841247559,2.4501290321350098,0.306263267993927,0.41727596521377563
CiteSeer,GAT,2,0.05,Vanilla,NA,0.695195198059082,127,1.5978877544403076,2.4453284740448,0.30554893612861633,0.4486599862575531
CiteSeer,GAT,2,0.05,Identity,NA,0.44594594836235046,119,1.2140555381774902,2.435544729232788,0.30566704273223877,0.33923932909965515
CiteSeer,GAT,2,0.05,Shuffled,NA,0.3378378450870514,279,2.149193048477173,2.4452221393585205,0.3055655360221863,0.14351239800453186
CiteSeer,GAT,2,0.05,Gaussian,0.1,0.42042043805122375,97,1.1237366199493408,2.3816745281219482,0.3050014078617096,2.3951525688171387
CiteSeer,GAT,2,0.05,Gaussian,0.3,0.4144144356250763,188,1.6234147548675537,2.2930939197540283,0.3038797080516815,4.1668829917907715
CiteSeer,GAT,2,0.05,Gaussian,0.5,0.4144144356250763,320,2.4357635974884033,2.174412965774536,0.304092675447464,5.0907721519470215
CiteSeer,GAT,2,0.05,EdgeDrop,NA,0.6831831932067871,192,1.7539722919464111,2.4501452445983887,0.3062724173069,0.4908842444419861
CiteSeer,GAT,2,0.1,Vanilla,NA,0.7087087035179138,176,1.8609936237335205,2.4453563690185547,0.3056238293647766,0.6444029808044434
CiteSeer,GAT,2,0.1,Identity,NA,0.5090090036392212,119,1.2151501178741455,2.43326473236084,0.30563250184059143,0.5104877948760986
CiteSeer,GAT,2,0.1,Shuffled,NA,0.38288289308547974,447,3.109062671661377,2.445385456085205,0.3056088387966156,0.1746158003807068
CiteSeer,GAT,2,0.1,Gaussian,0.1,0.4744744896888733,320,2.3727610111236572,2.4065957069396973,0.305521160364151,4.416335105895996
CiteSeer,GAT,2,0.1,Gaussian,0.3,0.4819819927215576,139,1.3579392433166504,2.3258473873138428,0.30513593554496765,4.487677574157715
CiteSeer,GAT,2,0.1,Gaussian,0.5,0.4729729890823364,463,3.7353131771087646,2.306133270263672,0.3052671253681183,7.373998165130615
CiteSeer,GAT,2,0.1,EdgeDrop,NA,0.7012012004852295,87,1.074009656906128,2.4501101970672607,0.306212842464447,0.42487892508506775
CiteSeer,GAT,3,0.01,Vanilla,NA,0.4834834933280945,368,2.6439666748046875,2.4451828002929688,0.3056778907775879,0.41337305307388306
CiteSeer,GAT,3,0.01,Identity,NA,0.29729729890823364,66,0.9104213714599609,2.4398884773254395,0.30542057752609253,0.11724776029586792
CiteSeer,GAT,3,0.01,Shuffled,NA,0.24474474787712097,122,1.2528607845306396,2.445054054260254,0.3053250014781952,0.07094637304544449
CiteSeer,GAT,3,0.01,Gaussian,0.1,0.29279279708862305,112,1.199406385421753,2.3840479850769043,0.3055204451084137,1.0761798620224
CiteSeer,GAT,3,0.01,Gaussian,0.3,0.2852852940559387,318,2.35124135017395,2.1147050857543945,0.3051427900791168,3.3818273544311523
CiteSeer,GAT,3,0.01,Gaussian,0.5,0.25375375151634216,160,1.7611513137817383,1.4681566953659058,0.2925974428653717,4.670711517333984
CiteSeer,GAT,3,0.01,EdgeDrop,NA,0.42042043805122375,142,1.5130441188812256,2.451385974884033,0.3063727021217346,0.23032860457897186
CiteSeer,GAT,3,0.03,Vanilla,NA,0.6921921968460083,317,2.456393241882324,2.445237398147583,0.30560699105262756,0.697019100189209
CiteSeer,GAT,3,0.03,Identity,NA,0.4369369447231293,161,1.4219465255737305,2.4321491718292236,0.3056497871875763,0.35289129614830017
CiteSeer,GAT,3,0.03,Shuffled,NA,0.29279279708862305,87,1.045816421508789,2.4452362060546875,0.3046864867210388,0.07227830588817596
CiteSeer,GAT,3,0.03,Gaussian,0.1,0.3933933973312378,74,0.9888081550598145,2.3859663009643555,0.30526530742645264,1.8690226078033447
CiteSeer,GAT,3,0.03,Gaussian,0.3,0.38738739490509033,353,2.6039791107177734,2.2888083457946777,0.30402615666389465,4.79372501373291
CiteSeer,GAT,3,0.03,Gaussian,0.5,0.39939939975738525,324,2.784411907196045,1.983794927597046,0.3046156167984009,4.617923736572266
CiteSeer,GAT,3,0.03,EdgeDrop,NA,0.6711711883544922,274,2.1300125122070312,2.4517550468444824,0.30640214681625366,0.5486215353012085
CiteSeer,GAT,3,0.05,Vanilla,NA,0.7027027010917664,238,1.8881056308746338,2.445286750793457,0.30544549226760864,0.6931604146957397
CiteSeer,GAT,3,0.05,Identity,NA,0.46396398544311523,150,1.382889747619629,2.433286428451538,0.3055971562862396,0.4298517405986786
CiteSeer,GAT,3,0.05,Shuffled,NA,0.3333333432674408,263,2.048706531524658,2.4450554847717285,0.3051251173019409,0.16844885051250458
CiteSeer,GAT,3,0.05,Gaussian,0.1,0.3978978991508484,144,1.3709218502044678,2.383681535720825,0.3044399917125702,2.8634650707244873
