dataset,model,seed,label_rate,ablation,noise_level,accuracy,best_epoch,train_time,attn_entropy_l1,attn_entropy_l2
CiteSeer,GAT,1,0.03,Identity,NA,0.39489489793777466,322,2.4859986305236816,2.4317686557769775,0.3056769371032715
CiteSeer,GAT,1,0.03,Shuffled,NA,0.2867867946624756,204,1.8308203220367432,2.4450507164001465,0.30528774857521057
CiteSeer,GAT,1,0.03,Gaussian,0.1,0.3243243396282196,110,1.2435503005981445,2.4018170833587646,0.3054053485393524
CiteSeer,GAT,1,0.03,Gaussian,0.3,0.32582584023475647,247,2.1026690006256104,2.3140251636505127,0.30532923340797424
CiteSeer,GAT,1,0.03,Gaussian,0.5,0.3153153359889984,254,2.1452386379241943,2.1341922283172607,0.30515697598457336
CiteSeer,GAT,1,0.03,EdgeDrop,NA,0.6456456780433655,176,2.067453145980835,2.444559335708618,0.30557477474212646
CiteSeer,GAT,1,0.05,Vanilla,NA,0.6786786913871765,213,1.8812193870544434,2.4453344345092773,0.3056667745113373
CiteSeer,GAT,1,0.05,Identity,NA,0.4444444477558136,322,2.504483699798584,2.430474281311035,0.30567270517349243
CiteSeer,GAT,1,0.05,Shuffled,NA,0.33183184266090393,204,1.8229918479919434,2.445267915725708,0.30533134937286377
CiteSeer,GAT,1,0.05,Gaussian,0.1,0.3708708882331848,261,2.1790072917938232,2.4045543670654297,0.30557167530059814
CiteSeer,GAT,1,0.05,Gaussian,0.3,0.3558558523654938,375,3.201620101928711,2.3716084957122803,0.30546414852142334
CiteSeer,GAT,1,0.05,Gaussian,0.5,0.33933934569358826,274,2.3152244091033936,2.2425765991210938,0.3051876723766327
CiteSeer,GAT,1,0.05,EdgeDrop,NA,0.6786786913871765,236,1.9950664043426514,2.444563388824463,0.30555015802383423
CiteSeer,GAT,1,0.1,Vanilla,NA,0.7147147059440613,143,1.4903569221496582,2.4453558921813965,0.30567076802253723
CiteSeer,GAT,1,0.1,Identity,NA,0.47597599029541016,55,0.9129376411437988,2.4377636909484863,0.3055016100406647
CiteSeer,GAT,1,0.1,Shuffled,NA,0.4099099338054657,204,1.831824541091919,2.445389986038208,0.30538827180862427
CiteSeer,GAT,1,0.1,Gaussian,0.1,0.41741743683815,88,1.1304917335510254,2.4061131477355957,0.3052957355976105
CiteSeer,GAT,1,0.1,Gaussian,0.3,0.3918918967247009,189,2.064810276031494,2.364138126373291,0.3054269254207611
CiteSeer,GAT,1,0.1,Gaussian,0.5,0.39489489793777466,213,1.9603354930877686,2.281309127807617,0.3053683638572693
CiteSeer,GAT,1,0.1,EdgeDrop,NA,0.7042042016983032,236,2.0016634464263916,2.4445886611938477,0.30555370450019836
CiteSeer,GAT,2,0.01,Vanilla,NA,0.5885885953903198,106,1.251598834991455,2.4453136920928955,0.30541297793388367
CiteSeer,GAT,2,0.01,Identity,NA,0.3153153359889984,261,2.11403226852417,2.438549757003784,0.30567172169685364
